Nama,Harga,Terjual,Kota,Link
Pupuk Kalsium Diana 1kg,Rp17.500,717 Terjual,KAB. KEDIRI,https://shopee.co.id/Pupuk-Kalsium-Diana-1kg-i.513912257.10348033608?sp_atk=79a50148-fe4a-43c8-8971-08e6bc950b1c&xptdk=79a50148-fe4a-43c8-8971-08e6bc950b1c
YaraTera / Yara Tera Calcinit - Pupuk Kalsium Nitrat Hidroponik - 1 kg,Rp22.000 - Rp23.000,"1,3RB Terjual",KAB. TANGERANG,https://shopee.co.id/YaraTera-Yara-Tera-Calcinit-Pupuk-Kalsium-Nitrat-Hidroponik-1-kg-i.175498478.18439814871?sp_atk=19a4e991-00db-4bfa-bd49-c70169e8f9bb&xptdk=19a4e991-00db-4bfa-bd49-c70169e8f9bb
Pupuk Cantik CAN Calcium Ammonium Kalsium Nitrate 1 Kg Kemasan Pabrik Asli,Rp19.800,34 Terjual,KOTA BALIKPAPAN,https://shopee.co.id/Pupuk-Cantik-CAN-Calcium-Ammonium-Kalsium-Nitrate-1-Kg-Kemasan-Pabrik-Asli-i.163891482.7029065812?sp_atk=3b22bfae-7a28-4b95-8613-50e809219b6e&xptdk=3b22bfae-7a28-4b95-8613-50e809219b6e
Pupuk Kalsium Original Murni 99 Ukuran 1kg,Rp15.900,283 Terjual,KAB. BOGOR,https://shopee.co.id/Pupuk-Kalsium-Original-Murni-99-Ukuran-1kg-i.528490499.17926724832?sp_atk=83dcd216-29f5-44e8-9e2a-53b7f043d3ef&xptdk=83dcd216-29f5-44e8-9e2a-53b7f043d3ef
CAL HA 1kg pupuk kalsium + asam humat. Calha 1kg,Rp30.000,861 Terjual,KAB. WONOSOBO,https://shopee.co.id/CAL-HA-1kg-pupuk-kalsium-asam-humat.-Calha-1kg-i.193108946.9378366429?sp_atk=cd49328b-4f26-4924-9158-8c8cdc0bdcd0&xptdk=cd49328b-4f26-4924-9158-8c8cdc0bdcd0
Pupuk Vitala 1kg - Pupuk Kalsium Boron dan Zinc - Pencegah Rontok Buah,Rp25.000,33 Terjual,KAB. WONOSOBO,https://shopee.co.id/Pupuk-Vitala-1kg-Pupuk-Kalsium-Boron-dan-Zinc-Pencegah-Rontok-Buah-i.45320795.18059386034?sp_atk=5cac6bd9-2e2d-41b7-b82c-4c332d454a6d&xptdk=5cac6bd9-2e2d-41b7-b82c-4c332d454a6d
Pupuk Kalsium Nitrat CNG CN-G 1 Kg - Pak Tani,Rp26.700,103 Terjual,KOTA PONTIANAK,https://shopee.co.id/Pupuk-Kalsium-Nitrat-CNG-CN-G-1-Kg-Pak-Tani-i.127159853.2151120666?sp_atk=a717421d-501b-465c-81f5-0aa5cff58e50&xptdk=a717421d-501b-465c-81f5-0aa5cff58e50
TOPCALSI KEMASAN 1KG | CALCIUM FERTILIZER + BORON,Rp17.000,52 Terjual,KOTA MALANG,https://shopee.co.id/TOPCALSI-KEMASAN-1KG-CALCIUM-FERTILIZER-BORON-i.225860529.13175129439?sp_atk=1dc771c7-7fa9-4724-9908-7ce556624259&xptdk=1dc771c7-7fa9-4724-9908-7ce556624259
Calsium Mancozeb Nutricalzeb 1 Kg | Calsium Boron Mancozeb | Kalsium Boron Mancozeb,Rp23.750,5 Terjual,KAB. MALANG,https://shopee.co.id/Calsium-Mancozeb-Nutricalzeb-1-Kg-Calsium-Boron-Mancozeb-Kalsium-Boron-Mancozeb-i.821090679.9999785914?sp_atk=b1ece195-5463-44e1-8c8c-1ef2ca8da7b8&xptdk=b1ece195-5463-44e1-8c8c-1ef2ca8da7b8
Pupuk KALSIUM MURNI 99 Kemasan 1 KG,Rp19.900,44 Terjual,KOTA JAMBI,https://shopee.co.id/Pupuk-KALSIUM-MURNI-99-Kemasan-1-KG-i.589200768.14333196405?sp_atk=b712ec77-0f67-4c0b-8de3-bd54a28bf206&xptdk=b712ec77-0f67-4c0b-8de3-bd54a28bf206
SWALLOW 80WP kemasan 1kg /pupuk dengan unsur konsentrasi yang tinggi/sulfur/sulphur/sulpur/kalsium/kalium/mangan,Rp53.125,11 Terjual,KAB. BANDUNG,https://shopee.co.id/SWALLOW-80WP-kemasan-1kg-pupuk-dengan-unsur-konsentrasi-yang-tinggi-sulfur-sulphur-sulpur-kalsium-kalium-mangan-i.49550723.9542560572?sp_atk=cf416f7c-acac-4e78-b1d4-4d9a6e52adb6&xptdk=cf416f7c-acac-4e78-b1d4-4d9a6e52adb6
CAL HA (PUPUK KALSIUM +ASAM HUMAT) 1KG,Rp29.800,31 Terjual,KAB. WONOSOBO,https://shopee.co.id/CAL-HA-(PUPUK-KALSIUM-ASAM-HUMAT)-1KG-i.75643653.21624997115?sp_atk=d19e7033-0917-4810-9cb8-f23aa9ed1a54&xptdk=d19e7033-0917-4810-9cb8-f23aa9ed1a54
Pupuk Buah Tanaman | Vitamin Tanaman | Pupuk Asam Amino Untuk Tanaman | Pupuk Booster Tanaman Asam Amino | Perangsang Tanaman | Pupuk Nongfeng AA Plus,Rp56.400,,KOTA SEMARANG,https://shopee.co.id/Pupuk-Buah-Tanaman-Vitamin-Tanaman-Pupuk-Asam-Amino-Untuk-Tanaman-Pupuk-Booster-Tanaman-Asam-Amino-Perangsang-Tanaman-Pupuk-Nongfeng-AA-Plus-i.390475383.23217592144?sp_atk=e3af458e-828a-48dc-9f70-20c16e7b2239&xptdk=e3af458e-828a-48dc-9f70-20c16e7b2239
"Pupuk organik Plus Fungisida, Pupuk pencegah rontok bunga dan buah, Pengganti pupuk kimia, Pupuk Kalsium organik, Pupuk Hortikultura, Pupuk Cabai, Pupuk Bawang merah, Pupuk Tomat, Pupuk Jeruk, Pupuk Kentang, Pupuk LADON MAKMUR, Pupuk Kilat,",Rp100.000,39 Terjual,KAB. JEMBER,https://shopee.co.id/Pupuk-organik-Plus-Fungisida-Pupuk-pencegah-rontok-bunga-dan-buah-Pengganti-pupuk-kimia-Pupuk-Kalsium-organik-Pupuk-Hortikultura-Pupuk-Cabai-Pupuk-Bawang-merah-Pupuk-Tomat-Pupuk-Jeruk-Pupuk-Kentang-Pupuk-LADON-MAKMUR-Pupuk-Kilat--i.344434448.3872752635?sp_atk=6d31d6c0-79af-44f5-8808-6b6b689166ce&xptdk=6d31d6c0-79af-44f5-8808-6b6b689166ce
Pupuk Kalsium Murni 99 1Kg,Rp22.500,92 Terjual,KAB. KEDIRI,https://shopee.co.id/Pupuk-Kalsium-Murni-99-1Kg-i.302077148.9449484053?sp_atk=76daec10-d8ce-40fb-bad6-3acb94361398&xptdk=76daec10-d8ce-40fb-bad6-3acb94361398
PUPUK MAGNESIUM PAK TANI - 1 KG,Rp17.680,42 Terjual,KAB. NGANJUK,https://shopee.co.id/PUPUK-MAGNESIUM-PAK-TANI-1-KG-i.239213009.7962002744?sp_atk=455433a8-f043-4903-a3a9-eaaead24b76f&xptdk=455433a8-f043-4903-a3a9-eaaead24b76f
Znso4 ZN 1 liter  Pupuk plus zpt boron kalsium  zet en  UNTUK TANAH ASEM ASEMEN Tanaman kerdil,Rp36.000,237 Terjual,KAB. BOJONEGORO,https://shopee.co.id/Znso4-ZN-1-liter-Pupuk-plus-zpt-boron-kalsium-zet-en-UNTUK-TANAH-ASEM-ASEMEN-Tanaman-kerdil-i.203207277.9944432246?sp_atk=ab6a491b-4071-49ad-be89-1ba7d336d34f&xptdk=ab6a491b-4071-49ad-be89-1ba7d336d34f
pupuk,Rp165.000,,KAB. SUKOHARJO,https://shopee.co.id/pupuk-i.290844751.5562699928?sp_atk=2708cf0b-8afb-49b4-954c-d7a1daa64097&xptdk=2708cf0b-8afb-49b4-954c-d7a1daa64097
"AUKSIN, GIBERELIN, SITOKININ, ANRIN, ZAT PENGATUR TUMBUHAN, ZAT PENGATUR BUAH DAN TANAMAN ORIGINAL",Rp8.000,"5,9RB Terjual",KAB. SUKOHARJO,https://shopee.co.id/AUKSIN-GIBERELIN-SITOKININ-ANRIN-ZAT-PENGATUR-TUMBUHAN-ZAT-PENGATUR-BUAH-DAN-TANAMAN-ORIGINAL-i.591045072.12950866517?sp_atk=1785d8e2-b788-4ce1-a0dc-675eeb02efbd&xptdk=1785d8e2-b788-4ce1-a0dc-675eeb02efbd
pupuk organik dpanen Jepang technology,Rp190.000,,KOTA PADANG,https://shopee.co.id/pupuk-organik-dpanen-Jepang-technology-i.719015718.23318988264?sp_atk=dd0cbd3b-507c-4998-870b-8a6c38279891&xptdk=dd0cbd3b-507c-4998-870b-8a6c38279891
Bisatani - Nutrisi Percepat Pertumbuhan Tanaman POC DAUN Pupuk Hormon Booster Pertumbuhan Vegetatif Tanaman,Rp38.000,15 Terjual,KOTA SURABAYA,https://shopee.co.id/Bisatani-Nutrisi-Percepat-Pertumbuhan-Tanaman-POC-DAUN-Pupuk-Hormon-Booster-Pertumbuhan-Vegetatif-Tanaman-i.607235258.19966317608?sp_atk=0a86cb66-ab35-4a80-b418-d9cbe5b9a662&xptdk=0a86cb66-ab35-4a80-b418-d9cbe5b9a662
Pupuk Hayati Mikoriza,Rp25.000,10RB+ Terjual,KOTA MALANG,https://shopee.co.id/Pupuk-Hayati-Mikoriza-i.61498443.1106842257?sp_atk=89ac490c-e40b-438a-b854-4f790480dab2&xptdk=89ac490c-e40b-438a-b854-4f790480dab2
"kalsium manohara 1kg / calsium boron / anti rontok / anti jamur /calsium 96,11% / magnesium / boron 6,88%",Rp20.000,24 Terjual,KAB. MAGETAN,https://shopee.co.id/kalsium-manohara-1kg-calsium-boron-anti-rontok-anti-jamur-calsium-96-11-magnesium-boron-6-88--i.817980169.23103972385?sp_atk=8a8e8b1b-53a1-450a-b0d7-2cb8db24ad90&xptdk=8a8e8b1b-53a1-450a-b0d7-2cb8db24ad90
"FORTUNE Obat Busuk Pangkal Batang Pepaya California, Layu Bakteri Pada Tanaman Pepaya - Pupuk Kalsium Untuk Atasi Patek Pada Pepaya, Obat Pupuk Tepung Mengatasi Hama Busuk Buah Pepaya California Terbaik Anti Layu dan Bakteri Buah Pepaya",Rp30.000,7 Terjual,KOTA TASIKMALAYA,https://shopee.co.id/FORTUNE-Obat-Busuk-Pangkal-Batang-Pepaya-California-Layu-Bakteri-Pada-Tanaman-Pepaya-Pupuk-Kalsium-Untuk-Atasi-Patek-Pada-Pepaya-Obat-Pupuk-Tepung-Mengatasi-Hama-Busuk-Buah-Pepaya-California-Terbaik-Anti-Layu-dan-Bakteri-Buah-Pepaya-i.518687409.18254197808?sp_atk=91e4363f-7eaf-4839-9309-a0ed03ae869f&xptdk=91e4363f-7eaf-4839-9309-a0ed03ae869f
Kalsium Murni 99 Kemasan 1 kg,Rp15.500,996 Terjual,KAB. KEDIRI,https://shopee.co.id/Kalsium-Murni-99-Kemasan-1-kg-i.513912257.10530779217?sp_atk=864bc023-ef40-4e29-99c4-f39131ed72ef&xptdk=864bc023-ef40-4e29-99c4-f39131ed72ef
Kalsium Manohara 1kg,Rp20.000,81 Terjual,KAB. TUBAN,https://shopee.co.id/Kalsium-Manohara-1kg-i.6396613.18558989166?sp_atk=1bb4c85e-30e2-4e65-ad06-d95549de444a&xptdk=1bb4c85e-30e2-4e65-ad06-d95549de444a
PUPUK KNO3 CALPONIT + CALSIUM - 2 Kg,Rp60.000,6 Terjual,KAB. LIMA PULUH KOTO/KOTA,https://shopee.co.id/PUPUK-KNO3-CALPONIT-CALSIUM-2-Kg-i.546370135.16402896412?sp_atk=7dc4a602-c11d-41e8-b4e2-7f1eb2b41de2&xptdk=7dc4a602-c11d-41e8-b4e2-7f1eb2b41de2
MKP Pak Tani KNO3 Putih Boron Meroke Paket Pupuk Anggur Tanaman Booster Buah Sayur Hepi Happy,Rp6.000 - Rp37.999,"1,3RB Terjual",KOTA DEPOK,https://shopee.co.id/MKP-Pak-Tani-KNO3-Putih-Boron-Meroke-Paket-Pupuk-Anggur-Tanaman-Booster-Buah-Sayur-Hepi-Happy-i.135032082.16329717532?sp_atk=138914cd-01e8-4476-9fb8-324205852f0c&xptdk=138914cd-01e8-4476-9fb8-324205852f0c
Pupuk Anti Rontok Bunga - Kalsium Kalsi Gro 98 kemasan 1 kg,Rp18.954,573 Terjual,KAB. CILACAP,https://shopee.co.id/Pupuk-Anti-Rontok-Bunga-Kalsium-Kalsi-Gro-98-kemasan-1-kg-i.17478093.455668426?sp_atk=6834f381-d482-4f13-92d1-e9b162874879&xptdk=6834f381-d482-4f13-92d1-e9b162874879
Pak Tani KCl Putih Pupuk Potassium Chloride Kemasan Pabrik 5 kg,Rp116.000,48 Terjual,KOTA TANGERANG,https://shopee.co.id/Pak-Tani-KCl-Putih-Pupuk-Potassium-Chloride-Kemasan-Pabrik-5-kg-i.364153909.18504147780?sp_atk=417c7f9e-205e-497f-a6cc-a6513eff7f54&xptdk=417c7f9e-205e-497f-a6cc-a6513eff7f54
Calsium Manohara 1 Kg,Rp17.999,33 Terjual,KAB. BLITAR,https://shopee.co.id/Calsium-Manohara-1-Kg-i.81536855.5371651905?sp_atk=e4a31170-924c-4dbc-bca2-75621f6459be&xptdk=e4a31170-924c-4dbc-bca2-75621f6459be
Calcium Fertilizer NATURAL 1 kg,Rp15.000,444 Terjual,KAB. WONOSOBO,https://shopee.co.id/Calcium-Fertilizer-NATURAL-1-kg-i.45320795.3016746377?sp_atk=c85e3d16-93dc-4b76-aa8a-93a302358972&xptdk=c85e3d16-93dc-4b76-aa8a-93a302358972
Pupuk Mikro Lengkap Kalsium Boron Fitomik Fitomic Plus 1 Liter,Rp110.800,60 Terjual,KOTA MALANG,https://shopee.co.id/Pupuk-Mikro-Lengkap-Kalsium-Boron-Fitomik-Fitomic-Plus-1-Liter-i.125925661.13511097620?sp_atk=a2339a7f-7ced-4fc0-b1e0-a6fce771734e&xptdk=a2339a7f-7ced-4fc0-b1e0-a6fce771734e
KALSIGRO 98 Kalsium Tanaman - Anti Rontok Bunga - Boron /mikro kalsium Kalsi Gro Kal Sigro Kalsigrow,Rp20.000,427 Terjual,KAB. WONOSOBO,https://shopee.co.id/KALSIGRO-98-Kalsium-Tanaman-Anti-Rontok-Bunga-Boron-mikro-kalsium-Kalsi-Gro-Kal-Sigro-Kalsigrow-i.183698060.5400346375?sp_atk=4dd262bc-5c72-44a9-937d-a474102c09ff&xptdk=4dd262bc-5c72-44a9-937d-a474102c09ff
Pupuk Boron Yaraliva Nitrabor Pupuk Kalsium Nitrat Boron Kemasan Repack,Rp10.500 - Rp18.500,30 Terjual,KOTA PALEMBANG,https://shopee.co.id/Pupuk-Boron-Yaraliva-Nitrabor-Pupuk-Kalsium-Nitrat-Boron-Kemasan-Repack-i.473892269.22910320860?sp_atk=aa842926-ec15-4f7c-9ff8-722b345d9cb7&xptdk=aa842926-ec15-4f7c-9ff8-722b345d9cb7
PUPUK MEROKE KARATE PLUS BORONI REPACK KALSIUM NITRAT,Rp15.000,245 Terjual,KAB. TANGERANG,https://shopee.co.id/PUPUK-MEROKE-KARATE-PLUS-BORONI-REPACK-KALSIUM-NITRAT-i.14766757.6655277815?sp_atk=fa50ad99-2ddd-4c24-918d-4ffb4d7597f5&xptdk=fa50ad99-2ddd-4c24-918d-4ffb4d7597f5
PUPUK KALSIUM LENGKAP 1 KG,Rp13.999,97 Terjual,KAB. WONOSOBO,https://shopee.co.id/PUPUK-KALSIUM-LENGKAP-1-KG-i.119624656.8621834655?sp_atk=0856e7cb-3f0c-4eb4-8337-24304aa53f33&xptdk=0856e7cb-3f0c-4eb4-8337-24304aa53f33
[ COD ] PUPUK MAJEMUK CAIR NEW CALSIUM SUSU UNTUK TANAMAN - 1 LITER,Rp33.350,59 Terjual,KAB. BLORA,https://shopee.co.id/-COD-PUPUK-MAJEMUK-CAIR-NEW-CALSIUM-SUSU-UNTUK-TANAMAN-1-LITER-i.638410137.12082148243?sp_atk=44f99670-75d9-49c8-ad65-3352dace9890&xptdk=44f99670-75d9-49c8-ad65-3352dace9890
KALSIUM D DIANA MENCEGAH RONTOK DAN JAMUR 1KG KG,Rp23.999,27 Terjual,KOTA BANJARBARU,https://shopee.co.id/KALSIUM-D-DIANA-MENCEGAH-RONTOK-DAN-JAMUR-1KG-KG-i.451475239.21419583702?sp_atk=bb20c262-7f20-4451-bcc8-7f9b2ffe3e09&xptdk=bb20c262-7f20-4451-bcc8-7f9b2ffe3e09
ANTIRON CALSIUM 95% SUPER 1KG CV DEKA AGRO,Rp17.000,24 Terjual,KAB. BANDUNG BARAT,https://shopee.co.id/ANTIRON-CALSIUM-95-SUPER-1KG-CV-DEKA-AGRO-i.393365812.13123362436?sp_atk=a6902579-beb3-4c82-b5fc-1ac862fe217e&xptdk=a6902579-beb3-4c82-b5fc-1ac862fe217e
Pupuk Kalsium boron MANOHARA 1 kg,Rp20.000,144 Terjual,KAB. GRESIK,https://shopee.co.id/Pupuk-Kalsium-boron-MANOHARA-1-kg-i.224504685.4975163439?sp_atk=894aa7ad-f6f4-45ac-bc1a-d2fed43c524c&xptdk=894aa7ad-f6f4-45ac-bc1a-d2fed43c524c
Pupuk kalsium MILAGROW anti rontok& busuk isi 1kg dr MANO AGRI NUSANTARA,Rp20.000,10 Terjual,KAB. KEDIRI,https://shopee.co.id/Pupuk-kalsium-MILAGROW-anti-rontok-busuk-isi-1kg-dr-MANO-AGRI-NUSANTARA-i.21754376.18272434832?sp_atk=6fb82208-9cde-4678-a48e-283144d25280&xptdk=6fb82208-9cde-4678-a48e-283144d25280
higros calsium (1kg),Rp35.000,94 Terjual,KAB. BONDOWOSO,https://shopee.co.id/higros-calsium-(1kg)-i.323465984.18938209742?sp_atk=26ecbef6-bdb9-4e9e-aa0f-7ea0c20d5588&xptdk=26ecbef6-bdb9-4e9e-aa0f-7ea0c20d5588
Calsium Cair Super 1 liter  + GA 3,Rp24.111,189 Terjual,KOTA SURABAYA,https://shopee.co.id/Calsium-Cair-Super-1-liter-GA-3-i.184132948.11516490629?sp_atk=5829be95-50c5-404c-8a2a-1fdc300bc96a&xptdk=5829be95-50c5-404c-8a2a-1fdc300bc96a
PUPUK KALSIUM NITRAT PLUS BORON KARATE PLUS BORONI,Rp35.000,"2,6RB Terjual",KAB. MALANG,https://shopee.co.id/PUPUK-KALSIUM-NITRAT-PLUS-BORON-KARATE-PLUS-BORONI-i.48816436.2395030335?sp_atk=1fafd4ff-57cc-433d-b07b-53a978f09f3f&xptdk=1fafd4ff-57cc-433d-b07b-53a978f09f3f
PUPUK KALSIUM 99 KALSIUM MURNI 1KG,Rp25.000,20 Terjual,KAB. OGAN KOMERING ULU TIMUR,https://shopee.co.id/PUPUK-KALSIUM-99-KALSIUM-MURNI-1KG-i.221508031.16777917195?sp_atk=043daf51-8783-4074-b1d0-fa3e5e812cc0&xptdk=043daf51-8783-4074-b1d0-fa3e5e812cc0
Pupuk YaraTera Calcinit / Calnit / Pupuk Kalsium Nitrat - Kemasan Repack 1kg,Rp25.000,21 Terjual,KOTA MAKASSAR,https://shopee.co.id/Pupuk-YaraTera-Calcinit-Calnit-Pupuk-Kalsium-Nitrat-Kemasan-Repack-1kg-i.311355063.20668433040?sp_atk=f60490cd-e86c-417e-99f9-78f17e6b815b&xptdk=f60490cd-e86c-417e-99f9-78f17e6b815b
PUPUK CNG 1KG CN-G KALSIUM NITRAT PAK TANI PUPUK HIDROPONIK GREENHOUSE,Rp23.300,135 Terjual,KOTA SEMARANG,https://shopee.co.id/PUPUK-CNG-1KG-CN-G-KALSIUM-NITRAT-PAK-TANI-PUPUK-HIDROPONIK-GREENHOUSE-i.34640423.10336492347?sp_atk=ab617665-7c96-4ab0-8dfc-355f999559ae&xptdk=ab617665-7c96-4ab0-8dfc-355f999559ae
MEROKE CALNIT / CALCINIT PUPUK KALSIUM / CALCIUM NITRAT,Rp50.000,"4,8RB Terjual",KAB. MALANG,https://shopee.co.id/MEROKE-CALNIT-CALCINIT-PUPUK-KALSIUM-CALCIUM-NITRAT-i.48816436.2141642404?sp_atk=8bd23df0-0f3b-4b66-9dbe-3e9078dac6b5&xptdk=8bd23df0-0f3b-4b66-9dbe-3e9078dac6b5
Pupuk calsium pertanian kalsium cair super 500 ml ga3 boron magnesium carbonat mencegah buah layu dan rontok,Rp17.000,41 Terjual,KAB. BOJONEGORO,https://shopee.co.id/Pupuk-calsium-pertanian-kalsium-cair-super-500-ml-ga3-boron-magnesium-carbonat-mencegah-buah-layu-dan-rontok-i.203207277.4453528351?sp_atk=3477845a-284c-468a-835c-c67c07769d1b&xptdk=3477845a-284c-468a-835c-c67c07769d1b
Pupuk Kalsium Sulfate (CaSO4) 1000 gram / 1 Kg,Rp7.999,108 Terjual,KOTA BANDUNG,https://shopee.co.id/Pupuk-Kalsium-Sulfate-(CaSO4)-1000-gram-1-Kg-i.206794976.10672319294?sp_atk=d65ee9e6-7a0c-44ef-96dd-16638776f31d&xptdk=d65ee9e6-7a0c-44ef-96dd-16638776f31d
Kalsika 100 Gram Kalsium Silika Penguat Batang,Rp31.000,353 Terjual,KAB. MADIUN,https://shopee.co.id/Kalsika-100-Gram-Kalsium-Silika-Penguat-Batang-i.95689238.5366493015?sp_atk=f33b7d72-86de-4b8b-9118-c4ad1c07baed&xptdk=f33b7d72-86de-4b8b-9118-c4ad1c07baed
calcium cair-BESTCALCIUM 400ml,Rp75.000,19 Terjual,KAB. LAMPUNG SELATAN,https://shopee.co.id/calcium-cair-BESTCALCIUM-400ml-i.190682584.12184429751?sp_atk=28d9caeb-f9e4-4eab-9ec1-b0155387a9ff&xptdk=28d9caeb-f9e4-4eab-9ec1-b0155387a9ff
NitraBor pupuk kalsium nitrat + boron repack 1kg,Rp18.000,,KAB. TULUNGAGUNG,https://shopee.co.id/NitraBor-pupuk-kalsium-nitrat-boron-repack-1kg-i.935535200.22726202651?sp_atk=70a1f074-ea88-4828-8cc5-9d6a99f36986&xptdk=70a1f074-ea88-4828-8cc5-9d6a99f36986
Pupuk CNG CN-G Pupuk Kalsium Nitrat Kemasan 1 kg,Rp30.900,93 Terjual,KOTA PALEMBANG,https://shopee.co.id/Pupuk-CNG-CN-G-Pupuk-Kalsium-Nitrat-Kemasan-1-kg-i.473892269.18205900162?sp_atk=b5516501-c76a-4ae0-9bb1-b8e24b6ca1b5&xptdk=b5516501-c76a-4ae0-9bb1-b8e24b6ca1b5
Pupuk Cal Ha Calsium Asam Humat 1 KG,Rp29.000,156 Terjual,KAB. BLITAR,https://shopee.co.id/Pupuk-Cal-Ha-Calsium-Asam-Humat-1-KG-i.81536855.23616828394?sp_atk=99658419-4c79-4a92-9524-bc15fab4b090&xptdk=99658419-4c79-4a92-9524-bc15fab4b090
MEROKE KARATE PLUS BORONI KALSIUM NITRAT 1KG,Rp13.000,,KAB. MUARA ENIM,https://shopee.co.id/MEROKE-KARATE-PLUS-BORONI-KALSIUM-NITRAT-1KG-i.141780724.10917873132?sp_atk=a404a9fa-04d4-41c1-9aa7-0532f9e944c0&xptdk=a404a9fa-04d4-41c1-9aa7-0532f9e944c0
Pupuk Mikro Lengkap Kalsium Boron Fitomik Fitomic Plus 1 L,Rp110.800,17 Terjual,KOTA MALANG,https://shopee.co.id/Pupuk-Mikro-Lengkap-Kalsium-Boron-Fitomik-Fitomic-Plus-1-L-i.125925661.15754309594?sp_atk=30839c28-4547-4214-9cba-91a35a12ea4d&xptdk=30839c28-4547-4214-9cba-91a35a12ea4d
PUPUK CALSIUM CAIR 1 LITER - ga3 magnesium boron perangsang hunga penguat bunga cod,Rp24.000,16 Terjual,KAB. BOJONEGORO,https://shopee.co.id/PUPUK-CALSIUM-CAIR-1-LITER-ga3-magnesium-boron-perangsang-hunga-penguat-bunga-cod-i.226494721.19030632366?sp_atk=79ae5dc5-6f93-498a-9eeb-378bb07b675f&xptdk=79ae5dc5-6f93-498a-9eeb-378bb07b675f
SUPER CALSIUM CAP TAWON 1KG,Rp15.000,6 Terjual,KOTA TASIKMALAYA,https://shopee.co.id/SUPER-CALSIUM-CAP-TAWON-1KG-i.138478218.6872821911?sp_atk=2ba38486-7a56-477b-9771-81e7cc776617&xptdk=2ba38486-7a56-477b-9771-81e7cc776617
KARATE PLUS BORONI 500 g / KALSIUM NITRAT / BORON / Meroke Karate / kalsium,Rp10.900,219 Terjual,KAB. KULON PROGO,https://shopee.co.id/KARATE-PLUS-BORONI-500-g-KALSIUM-NITRAT-BORON-Meroke-Karate-kalsium-i.27068577.3611184082?sp_atk=45216db3-c6ad-42b0-9610-cdcaf2cdeda2&xptdk=45216db3-c6ad-42b0-9610-cdcaf2cdeda2
Pupuk Calsium + Asam Humat Huma Cals CAL HA 1KG,Rp28.000,8 Terjual,KAB. PURWOREJO,https://shopee.co.id/Pupuk-Calsium-Asam-Humat-Huma-Cals-CAL-HA-1KG-i.15001736.19329767248?sp_atk=cea1cfdf-f511-485d-9107-4059a617dc76&xptdk=cea1cfdf-f511-485d-9107-4059a617dc76
Pupuk Kalsium Nitrat YaraLiva Tropicote Kemasan Repack 500 gr Calnit Calcium,Rp8.499,123 Terjual,KOTA DEPOK,https://shopee.co.id/Pupuk-Kalsium-Nitrat-YaraLiva-Tropicote-Kemasan-Repack-500-gr-Calnit-Calcium-i.135032082.13113544444?sp_atk=aeb15b18-d526-47e6-8659-dad90a109d19&xptdk=aeb15b18-d526-47e6-8659-dad90a109d19
Pupuk Super BORON + MgO 1KG,Rp25.000,"3,4RB Terjual",KOTA DEPOK,https://shopee.co.id/Pupuk-Super-BORON-MgO-1KG-i.77262414.7160635494?sp_atk=01fdb1a3-a3ea-413f-96eb-002f987d4d17&xptdk=01fdb1a3-a3ea-413f-96eb-002f987d4d17
Pupuk calcium PRIMER 100gr,Rp35.525,199 Terjual,KAB. KEDIRI,https://shopee.co.id/Pupuk-calcium-PRIMER-100gr-i.21754376.2160105920?sp_atk=e2333dc3-be31-40ae-98c8-cf0417e32979&xptdk=e2333dc3-be31-40ae-98c8-cf0417e32979
"NPK boroni 1 kg, npk kuning kalsium anti rontok, pupuk tunas baru",Rp19.500,35 Terjual,KOTA BANDUNG,https://shopee.co.id/NPK-boroni-1-kg-npk-kuning-kalsium-anti-rontok-pupuk-tunas-baru-i.255807677.13134437872?sp_atk=0e09f424-8f83-4289-b148-9f09bbbbc8f7&xptdk=0e09f424-8f83-4289-b148-9f09bbbbc8f7
Pupuk Santagrow Carate Canibor Calcium Nitrat Boron Santani kemasan asli 1kg,Rp25.000,,KOTA MEDAN,https://shopee.co.id/Pupuk-Santagrow-Carate-Canibor-Calcium-Nitrat-Boron-Santani-kemasan-asli-1kg-i.202522906.21774162787?sp_atk=386ff169-e443-479a-b3ae-be738746d101&xptdk=386ff169-e443-479a-b3ae-be738746d101
Pupuk calsium MANOHARA calbor fertilizer 1kg kalsium super,Rp22.500,272 Terjual,KAB. KENDAL,https://shopee.co.id/Pupuk-calsium-MANOHARA-calbor-fertilizer-1kg-kalsium-super-i.18401868.2764667678?sp_atk=48f2c9b1-1a84-4e98-85b6-5c6b931cda59&xptdk=48f2c9b1-1a84-4e98-85b6-5c6b931cda59
PUPUK CAL-HA (KALSIUM + ASAM HUMAT SPECIAL FORMULA 1KG,Rp29.900,91 Terjual,KAB. CIANJUR,https://shopee.co.id/PUPUK-CAL-HA-(KALSIUM-ASAM-HUMAT-SPECIAL-FORMULA-1KG-i.255589428.16529748809?sp_atk=5babca40-5f8a-4a1f-819d-ac1505f64a96&xptdk=5babca40-5f8a-4a1f-819d-ac1505f64a96
PUPUK CALSIUM / KALSIUM KARISMA MUTIARA-1KG TERBARU!!!,Rp34.000,16 Terjual,KAB. PONOROGO,https://shopee.co.id/PUPUK-CALSIUM-KALSIUM-KARISMA-MUTIARA-1KG-TERBARU!!!-i.374377773.8915304367?sp_atk=c37a8dae-fff7-48c5-babd-c3cd7123c5cd&xptdk=c37a8dae-fff7-48c5-babd-c3cd7123c5cd
